period,Company,Open,Highest,Lowest,Close,Change,Change %,Volume Traded,Value Traded
3 Months,TAWUNIYA,120.50,140.8,117.9,121.7,1.2,1.00,"21,626,042","31,571,151.60"
3 Months,DUR,26.80,27.3,26.4,27,0.2,0.75,"222,446","4,338,476.30"
3 Months,EXTRA,88.05,93.5,84.45,88.55,0.5,0.57,"13,966,064","9,616,230.45"
3 Months,GACO,16.03,19.55,15.81,16.1,0.07,0.44,"12,131,782","360,871.92"
3 Months,SULAIMAN ALHABIB,244.90,281.2,227.7,245.8,0.9,0.37,"13,383,852","15,082,546.80"
3 Months,DALLAH HEALTH,129.90,157.3,119.5,130,0.1,0.08,"4,521,745","8,723,219.20"
3 Months,SABB TAKAFUL,11.50,11.98,11.5,11.5,0,0.00,"539,556","6,349,103.58"
3 Months,WAFA Insurance,9.50,10,9.3,9.5,0,0.00,"915,571","8,767,344.86"
3 Months,ALAHLIA,14.76,15.02,14.5,14.76,0,0.00,"1,119,353","16,457,121.40"
3 Months,MMG,12.55,12.9,11.8,12.55,0,0.00,"5,310,626","66,213,259.00"
3 Months,SANAD,15.23,17.75,14.75,15.23,0,0.00,"1,572,218","25,722,117.10"
3 Months,Weqaya Takaful,19.39,19.75,19.15,19.39,0,0.00,"1,694,478","32,930,031.50"
3 Months,ATC,34.00,34.35,33.8,34,0,0.00,"263,305","8,968,049.20"
3 Months,ALKHODARI,5.39,5.76,5.18,5.39,0,0.00,"4,609,164","25,244,810.49"
3 Months,BSF,16.15,18.93,15.49,16.15,0,0.00,"153,846,532","38,211,694.74"
3 Months,BONYAN REIT,9.14,9.69,9,9.14,0,0.00,"5,300,279","219,245.31"
3 Months,HCC,11.60,11.7,11.54,11.6,0,0.00,"1,029,618","11,976,960.50"
3 Months,ALINMA TOKIO M,12.80,12.84,12.06,12.8,0,0.00,"765,899","9,519,564.54"
3 Months,ALAWWAL,19.58,19.58,19,19.58,0,0.00,"1,587,561","30,693,634.94"
3 Months,SOLIDARITY,14.20,14.52,14.16,14.2,0,0.00,"636,038","9,053,258.36"
3 Months,NASEEJ,92.85,96.2,42.3,43.38,-49.47,-53.28,"26,323,111","7,588,491.22"
3 Months,SAUDI GERMAN HEALTH,57.60,59.2,37.8,38.4,-19.2,-33.33,"27,488,933","25,020,283.30"
3 Months,TECO,18.20,19.4,12.14,12.24,-5.96,-32.75,"75,751,635","3,523,423.57"
3 Months,SIDC,18.59,22.4,12.59,12.7,-5.89,-31.68,"22,491,115","6,072,536.46"
3 Months,TAPRCO,26.34,30.9,18.33,18.46,-7.88,-29.92,"19,763,272","3,552,724.40"
3 Months,JAHEZ,21.86,22.9,15.23,15.34,-6.52,-29.83,"103,879,587","21,052,108.70"
3 Months,SIIG,18.74,19.65,13.5,13.6,-5.14,-27.43,"49,280,761","9,303,922.93"
3 Months,SPPC,11.16,11.55,8,8.12,-3.04,-27.24,"23,062,856","1,234,165.96"
3 Months,YC,31.90,32.7,22.59,23.63,-8.27,-25.92,"38,136,915","8,645,820.91"
3 Months,ALAKARIA,17.60,17.98,12.77,13.05,-4.55,-25.85,"76,948,905","6,769,567.05"
3 Months,SAPTCO,13.65,13.8,10.09,10.26,-3.39,-24.84,"52,163,254","3,436,073.46"
3 Months,ALRAJHI TAKAFUL,114.30,124.9,84,86.35,-27.95,-24.45,"12,611,897","14,135,367.30"
3 Months,ARDCO,33.32,33.58,24.88,25.24,-8.08,-24.25,"11,227,325","3,560,713.36"
3 Months,HERFY FOODS,20.93,22.98,15.61,15.94,-4.99,-23.84,"9,930,086","7,770,365.07"
3 Months,MESC,30.66,32.2,22.28,23.5,-7.16,-23.35,"35,170,628","9,590,278.62"
3 Months,ALMAJDIAH,13.83,14.46,9.97,10.7,-3.13,-22.63,"184,989,646","12,121,048.94"
3 Months,MALATH INSURANCE,13.29,13.68,10.13,10.29,-3,-22.57,"11,731,822","900,475.47"
3 Months,SFICO,87.90,97.95,68,68.2,-19.7,-22.41,"5,801,238","10,012,699.25"
3 Months,LEEJAM SPORTS,147.50,150.7,111.2,114.5,-33,-22.37,"11,795,924","5,862,718.70"
3 Months,FLYNAS,77.10,81.7,60.25,60.35,-16.75,-21.73,"31,125,900","27,043,987.30"
3 Months,UCA,4.70,5.74,3.66,3.68,-1.02,-21.70,"32,187,864","4,182,222.18"
3 Months,MIAHONA,24.28,26.2,18.75,19.03,-5.25,-21.62,"49,476,751","4,666,368.26"
3 Months,SAIC,23.41,26.1,17.75,18.39,-5.02,-21.44,"17,521,934","3,753,290.24"
3 Months,CENOMI RETAIL,24.10,31.16,18.75,19.01,-5.09,-21.12,"209,188,140","17,007,666.69"
3 Months,SPORT CLUBS,10.75,11.45,8.42,8.5,-2.25,-20.93,"267,072,151","9,910,016.75"
3 Months,BUILD STATION,73.30,78.3,56.95,58.35,-14.95,-20.40,"19,797,019","3,938,225.35"
3 Months,ALSAGR INSURANCE,12.80,13.72,10.1,10.21,-2.59,-20.23,"20,934,202","3,177,614.87"
3 Months,TANMIAH,76.40,85.8,59.1,61,-15.4,-20.16,"6,800,763","4,804,186.95"
3 Months,ALETIHAD,10.76,11.74,8.38,8.62,-2.14,-19.89,"6,890,277","483,167.56"
3 Months,SAUDI DARB,2.91,3.13,2.3,2.34,-0.57,-19.59,"232,076,952","4,301,769.39"
3 Months,MASAR,22.71,25.16,18.13,18.28,-4.43,-19.51,"180,592,848","49,741,675.90"
3 Months,RIYADH CEMENT,29.80,30.28,22.98,24,-5.8,-19.46,"21,980,527","5,664,214.04"
3 Months,RED SEA,44.64,47.6,34.14,36.02,-8.62,-19.31,"25,806,340","14,729,735.38"
3 Months,GO TELECOM,110.90,113.3,88.1,90,-20.9,-18.85,"16,785,576","13,467,698.10"
3 Months,METLIFE AIG ANB,17.58,17.78,14.02,14.3,-3.28,-18.66,"3,601,863","17,571,429.72"
3 Months,CITY CEMENT,15.90,16.2,12.56,12.95,-2.95,-18.55,"19,020,135","1,576,704.50"
3 Months,CARE,173.60,183.5,140.3,142,-31.6,-18.20,"5,834,065","15,548,965.10"
3 Months,NICE ONE,23.93,26,19.22,19.6,-4.33,-18.09,"43,794,958","6,189,654.78"
3 Months,ALUJAIN,36.18,36.58,29.72,29.72,-6.46,-17.86,"21,925,379","7,186,409.42"
3 Months,ANAAM HOLDING,15.24,17.52,12.25,12.54,-2.7,-17.72,"40,036,833","1,603,176.76"
3 Months,MEDGULF,15.66,17.52,12.8,12.94,-2.72,-17.37,"54,205,081","4,319,614.51"
3 Months,AMANA INSURANCE,7.39,8.15,6,6.12,-1.27,-17.19,"12,732,850","1,418,228.01"
3 Months,ENAYA,8.98,9.5,7.31,7.44,-1.54,-17.15,"10,843,479","774,868.75"
3 Months,TADCO,10.02,10.85,8.22,8.32,-1.7,-16.97,"7,451,783","335,037.70"
3 Months,SVCP,26.74,28.8,21.95,22.25,-4.49,-16.79,"2,854,966","545,286.04"
3 Months,CATRION,99.00,102.2,80.9,82.5,-16.5,-16.67,"10,814,812","9,927,740.40"
3 Months,NAHDI,115.30,124.8,95.6,96.3,-19,-16.48,"16,206,758","33,001,760.55"
3 Months,SRMG,171.50,199,137.2,143.3,-28.2,-16.44,"4,323,099","9,907,715.60"
3 Months,BAAN,2.20,2.38,1.79,1.84,-0.36,-16.36,"185,207,290","5,279,075.04"
3 Months,JABAL OMAR,18.12,19.85,14.83,15.16,-2.96,-16.34,"263,454,778","42,188,951.30"
3 Months,HB,39.36,42.92,32.9,33.14,-6.22,-15.80,"5,317,700","2,121,681.34"
3 Months,ALDAWAA,64.60,68.95,54,54.4,-10.2,-15.79,"12,247,529","5,719,675.35"
3 Months,FIPCO,35.76,37.2,29.7,30.38,-5.38,-15.04,"4,023,027","836,349.02"
3 Months,SALAMA,11.52,12.73,9.78,9.8,-1.72,-14.93,"8,462,234","999,161.26"
3 Months,CMCER,8.25,9.14,6.95,7.02,-1.23,-14.91,"80,972,051","5,498,265.94"
3 Months,SHL,20.86,24.13,17,17.8,-3.06,-14.67,"13,509,314","1,082,641.40"
3 Months,GAS,16.24,17.99,13.52,13.86,-2.38,-14.66,"15,795,058","637,934.31"
3 Months,SIPCHEM,18.78,21.05,16,16.05,-2.73,-14.54,"132,055,132","36,621,829.58"
3 Months,MEPCO,27.58,29.12,23.19,23.59,-3.99,-14.47,"22,002,107","1,984,115.06"
3 Months,NAJRAN CEMENT,7.97,8.07,6.8,6.82,-1.15,-14.43,"17,500,519","1,433,671.50"
3 Months,THIMAR,45.50,50.85,37.72,38.94,-6.56,-14.42,"32,656,213","3,259,486.12"
3 Months,ARAB SEA,5.14,5.58,4.31,4.4,-0.74,-14.40,"31,213,984","1,091,171.15"
3 Months,EQUIPMENT HOUSE,37.90,41,31.66,32.5,-5.4,-14.25,"3,737,333","1,610,995.76"
3 Months,DAR ALARKAN,18.50,20.97,15,15.89,-2.61,-14.11,"94,032,466","15,105,649.40"
3 Months,TAKWEEN,7.33,7.94,6.15,6.3,-1.03,-14.05,"11,609,142","471,068.57"
3 Months,JAZADCO,10.40,10.96,8.85,8.94,-1.46,-14.04,"7,968,118","193,028.50"
3 Months,SSP,48.78,56.45,39.8,42,-6.78,-13.90,"11,819,919","14,122,896.20"
3 Months,ACIG,10.15,12.36,8.75,8.76,-1.39,-13.69,"40,502,146","1,364,403.97"
3 Months,BANAN,4.47,4.76,3.86,3.88,-0.59,-13.20,"12,393,799","382,879.05"
3 Months,ALANDALUS,20.50,21.18,16.7,17.8,-2.7,-13.17,"5,697,398","306,114.48"
3 Months,MUTAKAMELA,13.60,14.58,11.47,11.83,-1.77,-13.01,"5,842,483","522,560.93"
3 Months,AMLAK,12.93,13.9,11.25,11.26,-1.67,-12.92,"24,773,590","814,040.39"
3 Months,EMAAR EC,12.58,14.1,10.72,10.96,-1.62,-12.88,"14,469,487","2,243,706.53"
3 Months,SPCC,25.68,28,21.95,22.39,-3.29,-12.81,"6,029,263","1,709,884.37"
3 Months,SGS,44.86,47.68,38.98,39.2,-5.66,-12.62,"25,170,806","10,654,068.44"
3 Months,UACC,14.64,15.3,12.29,12.8,-1.84,-12.57,"4,873,636","1,286,378.36"
3 Months,SHAKER,26.54,28.58,22.9,23.21,-3.33,-12.55,"14,103,806","2,692,664.40"
3 Months,ALAMAR,48.54,53.2,41,42.48,-6.06,-12.48,"11,862,246","1,790,042.08"
3 Months,BAWAN,57.40,60.4,48.4,50.25,-7.15,-12.46,"14,635,227","7,127,811.21"
3 Months,ALISTITHMAR REIT,8.21,8.5,7.05,7.19,-1.02,-12.42,"8,444,706","164,056.14"
3 Months,TAMKEEN,57.35,62.9,49.78,50.25,-7.1,-12.38,"9,170,440","4,937,766.09"
3 Months,WAFRAH,25.16,29.76,21.67,22.09,-3.07,-12.20,"6,691,025","1,101,127.28"
3 Months,ALHAMMADI,33.16,36,28.92,29.12,-4.04,-12.18,"21,039,237","3,693,924.80"
3 Months,CHEMANOL,10.13,11.22,8.59,8.91,-1.22,-12.04,"24,612,808","2,022,129.27"
3 Months,AMIANTIT,19.06,22.58,16.55,16.77,-2.29,-12.01,"26,224,259","2,576,199.16"
3 Months,NGC,18.75,21.9,16,16.5,-2.25,-12.00,"8,736,843","1,281,220.48"
3 Months,WATANIYA,14.79,16.8,12.87,13.02,-1.77,-11.97,"13,541,986","3,612,160.18"
3 Months,MAADANIYAH,15.76,18.5,13.23,13.89,-1.87,-11.87,"16,349,229","1,211,941.71"
3 Months,SEDCO CAPITAL REIT,6.97,7.25,6.17,6.17,-0.8,-11.48,"11,138,189","3,914,336.42"
3 Months,SAUDI CABLE,150.80,160,130,133.7,-17.1,-11.34,"2,473,755","2,696,801.60"
3 Months,SINAD HOLDING,10.38,10.97,9.07,9.21,-1.17,-11.27,"10,099,157","319,302.41"
3 Months,ENTAJ,38.26,42.08,32.9,34,-4.26,-11.13,"9,151,761","1,302,892.52"
3 Months,SHARQIYAH DEV,15.66,17.56,13.85,13.92,-1.74,-11.11,"10,231,712","754,130.50"
3 Months,BINDAWOOD,5.32,5.92,4.54,4.73,-0.59,-11.09,"56,758,336","6,523,783.12"
3 Months,ZOUJAJ,41.44,42.5,36.12,37,-4.44,-10.71,"11,964,600","2,547,871.40"
3 Months,NADEC,20.69,22.7,18.02,18.52,-2.17,-10.49,"51,151,835","19,819,194.39"
3 Months,MRNA,11.09,11.39,9.88,9.93,-1.16,-10.46,"8,537,275","494,970.61"
3 Months,DWF,122.00,149.7,108.8,109.5,-12.5,-10.25,"3,823,622","7,449,934.00"
3 Months,ELM,855.50,972,745,769.5,-86,-10.05,"5,178,205","39,862,054.50"
3 Months,FARM SUPERSTORES,15.87,17.97,14.04,14.3,-1.57,-9.89,"4,029,163","363,907.82"
3 Months,LUMI,58.80,65,51.55,53,-5.8,-9.86,"7,349,164","2,431,174.75"
3 Months,AICC,10.94,11.49,9.7,9.91,-1.03,-9.41,"6,272,872","451,211.28"
3 Months,ARTEX,12.44,14.78,11.1,11.27,-1.17,-9.41,"9,136,199","1,476,420.24"
3 Months,SIECO,2.03,2.22,1.77,1.84,-0.19,-9.36,"111,825,839","6,121,813.19"
3 Months,TALCO,40.56,43.3,32.88,36.8,-3.76,-9.27,"5,209,084","2,486,463.32"
3 Months,A.OTHAIM MARKET,7.30,7.95,6.6,6.64,-0.66,-9.04,"86,132,344","7,873,832.58"
3 Months,ARABIAN SHIELD,13.18,14.19,11.25,12.03,-1.15,-8.73,"7,884,078","806,988.96"
3 Months,EPCCO,25.70,27.6,23,23.46,-2.24,-8.72,"11,163,591","1,772,945.86"
3 Months,ADVANCED,34.14,38.64,30.76,31.2,-2.94,-8.61,"40,595,781","5,334,428.72"
3 Months,SMASCO,5.82,6.35,5.26,5.32,-0.5,-8.59,"104,854,568","2,285,633.32"
3 Months,APC,5.53,6.36,4.93,5.06,-0.47,-8.50,"235,402,537","9,071,364.02"
3 Months,NAMA CHEMICALS,25.22,27.6,23,23.08,-2.14,-8.49,"2,794,322","1,175,571.60"
3 Months,TASNEE,10.67,11.94,9.63,9.77,-0.9,-8.43,"119,418,223","5,032,865.75"
3 Months,SADAFCO,263.00,297.2,237,241.3,-21.7,-8.25,"2,325,794","2,899,131.30"
3 Months,GULF UNION ALAHLIA,12.14,14.18,10.86,11.14,-1,-8.24,"5,980,368","668,459.54"
3 Months,ACWA POWER,211.70,252.6,186.2,194.5,-17.2,-8.12,"30,071,360","40,649,285.90"
3 Months,SAUDI RE,30.08,36.09,27.1,27.64,-2.44,-8.11,"55,827,514","16,795,095.68"
3 Months,ALMARAI,48.08,54.05,43.5,44.2,-3.88,-8.07,"40,079,485","17,020,614.52"
3 Months,BATIC,2.24,2.4,2.04,2.06,-0.18,-8.04,"498,919,272","8,892,580.37"
3 Months,SABIC,59.75,64,54,54.95,-4.8,-8.03,"89,723,158","90,635,182.35"
3 Months,ALKATHIRI,2.13,2.23,1.92,1.96,-0.17,-7.98,"77,788,793","1,038,039.60"
3 Months,ALKHALEEJ TRNG,22.67,29.38,20.24,20.88,-1.79,-7.90,"17,374,191","4,617,008.64"
3 Months,AZM,26.14,29.3,22.67,24.1,-2.04,-7.80,"12,519,847","7,480,070.54"
3 Months,GULF GENERAL,4.65,5.51,4.22,4.29,-0.36,-7.74,"22,579,509","445,295.78"
3 Months,TCC,10.21,10.9,9.36,9.43,-0.78,-7.64,"16,693,234","338,075.84"
3 Months,OASIS,2.39,2.69,2.18,2.21,-0.18,-7.53,"42,140,903","1,216,707.81"
3 Months,SOLUTIONS,240.80,271.6,219.9,222.7,-18.1,-7.52,"7,950,136","13,257,472.70"
3 Months,AMERICANA,1.93,2.25,1.76,1.79,-0.14,-7.25,"2,178,904,622","52,812,325.87"
3 Months,LAZURDE,12.45,13.48,11.44,11.56,-0.89,-7.15,"12,881,683","827,555.65"
3 Months,BJAZ,12.00,13.31,11.14,11.15,-0.85,-7.08,"217,534,990","37,946,004.09"
3 Months,FAKEEH CARE,39.86,42.84,36.68,37.04,-2.82,-7.07,"15,205,275","4,905,776.46"
3 Months,ALSAIF GALLERY,6.95,7.15,6.41,6.46,-0.49,-7.05,"34,611,088","403,749.13"
3 Months,ALJOUF,45.02,48.44,40.9,41.88,-3.14,-6.97,"5,585,874","1,551,203.06"
3 Months,ALASEEL,3.60,3.85,3.3,3.35,-0.25,-6.94,"40,239,106","374,152.63"
3 Months,JADWA REIT ALHARAMAIN,5.21,5.33,4.8,4.85,-0.36,-6.91,"4,691,211","966,431.03"
3 Months,BURGERIZZR,15.40,17.33,14.15,14.39,-1.01,-6.56,"15,359,131","1,852,876.00"
3 Months,THEEB,61.50,66.9,57.25,57.5,-4,-6.50,"5,550,161","6,495,720.95"
3 Months,UCIC,28.32,32.44,26.16,26.48,-1.84,-6.50,"17,360,450","1,815,933.42"
3 Months,SUMOU,37.98,42,34.9,35.52,-2.46,-6.48,"13,334,706","1,207,674.50"
3 Months,SAICO,12.82,14.88,11.84,11.99,-0.83,-6.47,"8,881,401","480,369.60"
3 Months,JAZIRA TAKAFUL,12.13,13.12,11.28,11.4,-0.73,-6.02,"5,189,774","1,475,827.52"
3 Months,YCC,16.29,17.3,15.18,15.31,-0.98,-6.02,"22,713,528","3,138,624.01"
3 Months,ALJAZIRA REIT,13.18,14,11.92,12.4,-0.78,-5.92,"2,975,451","1,043,833.33"
3 Months,SADR,2.91,3.11,2.69,2.74,-0.17,-5.84,"77,049,989","5,408,166.99"
3 Months,CENOMI CENTERS,20.93,23.52,19.5,19.75,-1.18,-5.64,"76,866,414","8,639,421.14"
3 Months,MEFIC REIT,3.63,3.83,3.4,3.43,-0.2,-5.51,"10,406,405","327,622.74"
3 Months,ATAA,62.45,70.6,58.25,59.05,-3.4,-5.44,"2,828,916","1,791,610.95"
3 Months,RAYDAN,27.81,32.4,26,26.36,-1.45,-5.21,"7,962,225","422,531.28"
3 Months,NORTHERN CEMENT,7.73,8.28,7.22,7.33,-0.4,-5.17,"17,012,223","682,512.71"
3 Months,SAUDI CEMENT,38.28,41.58,35.4,36.3,-1.98,-5.17,"9,576,668","1,547,377.78"
3 Months,GIG,24.30,27.22,22.04,23.05,-1.25,-5.14,"6,358,278","12,010,238.07"
3 Months,ASLAK,22.52,26.1,21.01,21.37,-1.15,-5.11,"5,135,452","463,047.73"
3 Months,ASTRA INDUSTRIAL,141.90,151.2,130.9,134.7,-7.2,-5.07,"8,449,101","6,328,190.20"
3 Months,ALAHLI REIT 1,6.74,6.91,6.05,6.4,-0.34,-5.04,"3,850,860","76,722.31"
3 Months,YANSAB,32.08,37.28,30.14,30.52,-1.56,-4.86,"24,480,807","5,285,506.20"
3 Months,NCLE,152.00,183,141.5,145.1,-6.9,-4.54,"1,753,326","1,354,352.90"
3 Months,SARCO,56.25,63.95,53.5,53.75,-2.5,-4.44,"4,807,230","2,217,723.95"
3 Months,SPIMACO,28.38,31.06,26.5,27.16,-1.22,-4.30,"24,481,008","3,149,333.46"
3 Months,ALMASAR ALSHAMIL,23.09,24.48,18.33,22.1,-0.99,-4.29,"35,511,632","328,199,185.87"
3 Months,MUSHARAKA REIT,4.26,4.53,4.03,4.08,-0.18,-4.23,"3,873,894","114,330.83"
3 Months,ARABIAN MILLS,40.32,43.5,38.08,38.64,-1.68,-4.17,"5,783,965","1,429,351.98"
3 Months,RIYAD REIT,5.24,5.46,4.95,5.03,-0.21,-4.01,"8,974,356","821,560.12"
3 Months,AVALON PHARMA,125.70,138.4,117.6,120.7,-5,-3.98,"1,972,003","2,219,678.40"
3 Months,BUDGET SAUDI,67.80,78.95,64,65.15,-2.65,-3.91,"8,868,908","5,549,967.80"
3 Months,LIVA,12.05,14.47,11.31,11.59,-0.46,-3.82,"7,723,436","150,840.11"
3 Months,SACO,27.48,33.34,26.16,26.44,-1.04,-3.78,"8,931,882","1,726,270.08"
3 Months,MOUWASAT,73.00,79.75,68,70.25,-2.75,-3.77,"39,435,096","18,668,990.65"
3 Months,KEC,12.50,13.16,11.85,12.03,-0.47,-3.76,"16,032,706","988,881.77"
3 Months,SISCO HOLDING,33.46,38.38,30,32.24,-1.22,-3.65,"23,923,321","4,335,425.66"
3 Months,DERAYAH REIT,5.61,5.75,5.29,5.41,-0.2,-3.57,"5,196,422","411,060.31"
3 Months,ALYAMAMAH STEEL,34.18,39.5,31.02,33,-1.18,-3.45,"19,602,542","9,732,045.36"
3 Months,TAIBA,35.46,43,33.74,34.3,-1.16,-3.27,"16,910,113","3,972,927.12"
3 Months,FOURTH MILLING,3.82,3.99,3.66,3.7,-0.12,-3.14,"80,727,395","1,731,899.82"
3 Months,BCI,27.28,29.16,25.72,26.44,-0.84,-3.08,"2,769,437","721,471.96"
3 Months,FITAIHI GROUP,3.00,3.44,2.85,2.91,-0.09,-3.00,"91,979,030","1,087,548.71"
3 Months,SAUDI ELECTRICITY,14.54,16.05,13.97,14.15,-0.39,-2.68,"88,967,893","11,439,928.11"
3 Months,2P,9.00,10.23,8.45,8.76,-0.24,-2.67,"38,103,560","1,093,604.26"
3 Months,ALOMRAN,27.02,33.7,25.74,26.3,-0.72,-2.66,"5,777,944","616,868.56"
3 Months,FIRST MILLS,50.75,54.4,46.86,49.44,-1.31,-2.58,"3,151,278","1,139,005.20"
3 Months,NAYIFAT,12.76,13.73,12.42,12.44,-0.32,-2.51,"12,415,617","666,397.41"
3 Months,SAIB,13.30,14.81,12.85,12.97,-0.33,-2.48,"35,214,023","6,678,465.49"
3 Months,ALINMA RETAIL REIT,4.50,4.69,4.32,4.39,-0.11,-2.44,"10,794,466","433,404.11"
3 Months,BURUJ,16.39,17.56,15,16.01,-0.38,-2.32,"2,323,925","1,872,712.11"
3 Months,ALINMA,24.84,28.02,23.94,24.27,-0.57,-2.29,"444,920,349","130,314,578.56"
3 Months,ALKHABEER REIT,5.74,5.82,5.58,5.61,-0.13,-2.26,"8,869,216","339,433.57"
3 Months,SEERA,27.60,31.6,26.44,27.02,-0.58,-2.10,"56,782,243","12,342,183.24"
3 Months,JARIR,12.87,14.56,12.26,12.6,-0.27,-2.10,"119,015,231","24,032,032.28"
3 Months,TADAWUL GROUP,167.20,215,158.7,164,-3.2,-1.91,"9,220,069","24,861,612.40"
3 Months,SABIC AGRI-NUTRIENTS,117.20,125.7,112.6,115,-2.2,-1.88,"32,574,518","30,647,485.50"
3 Months,ACC,21.58,22.7,20.85,21.18,-0.4,-1.85,"8,699,703","1,134,079.98"
3 Months,OBEIKAN GLASS,27.64,38.44,24.59,27.16,-0.48,-1.74,"19,475,613","13,592,904.04"
3 Months,MODERN MILLS,31.68,35.72,30.14,31.16,-0.52,-1.64,"4,221,998","847,780.42"
3 Months,JAMJOOM PHARMA,153.40,165.3,141.9,151,-2.4,-1.56,"4,088,549","7,779,086.00"
3 Months,RIBL,26.08,28.5,25.3,25.72,-0.36,-1.38,"143,566,174","20,793,903.50"
3 Months,PETROCHEM,46.05,46.05,45.4,45.45,-0.6,-1.30,"289,936","4,661,416.70"
3 Months,Al RAJHI REIT,8.22,8.4,8.08,8.12,-0.1,-1.22,"10,876,393","1,323,478.32"
3 Months,BUPA ARABIA,145.50,167.5,140.6,143.8,-1.7,-1.17,"12,034,532","10,805,206.40"
3 Months,SAUDI CERAMICS,28.50,32.86,27,28.24,-0.26,-0.91,"24,535,702","2,990,903.88"
3 Months,ALMUNAJEM,55.35,62.6,53,54.9,-0.45,-0.81,"9,897,758","2,211,282.10"
3 Months,ANB,22.35,26.26,21.62,22.17,-0.18,-0.81,"92,941,250","13,669,399.73"
3 Months,SMC HEALTHCARE,18.82,21.19,17.62,18.7,-0.12,-0.64,"53,564,987","13,844,990.15"
3 Months,ALINMA HOSPITALITY REIT,8.20,8.34,8.09,8.15,-0.05,-0.61,"9,968,067","542,815.59"
3 Months,CHERRY,26.40,29.02,25.9,26.24,-0.16,-0.61,"16,503,089","54,277,653.40"
3 Months,AL MAATHER REIT,9.05,9.1,8.94,9,-0.05,-0.55,"2,543,210","401,223.00"
3 Months,ALMOOSA,166.90,212,159.8,166.5,-0.4,-0.24,"2,221,068","2,664,996.10"
3 Months,MULKIA REIT,4.63,4.92,4.54,4.62,-0.01,-0.22,"4,481,997","98,131.56"
3 Months,RIYADH CABLES,126.00,143.8,114.5,125.9,-0.1,-0.08,"19,177,674","13,729,681.10"
